inchi_key,gcm_cluster,cluster_size,cid,smiles,rscore_mean_all,rscore_mean_enriched,cpd_profile_score,cpd_profile_score_rank,rscore_x_dir_max_enriched,rscore_active,cluster_size,max_cpds_tested,num_assays,num_assays_enriched,fract_assays_enriched,num_assays_enriched_up,num_assays_enriched_down,gcm_conclusion
NEIVPRTZAHUZEA-UHFFFAOYSA-N,4965,45,899068,CSc1nc2sc3c(c2c(=S)[nH]1)CC(C)(C)OC3,1.034752916142884,5.6,5.411919998132889,1,5.6,1.0,45,31,18,1,0.0555555555555555,1,0,yes
WHPQMBZXFSLLTR-UHFFFAOYSA-N,4981,45,49789764,COCCNc1nc(NCCOc2ccccc2Cl)c2sc(-c3ccccc3)cc2n1,0.5906641763024715,5.545804612723338,9.389099314334247,1,5.545804612723338,1.0,45,45,23,1,0.0434782608695652,1,0,yes
APOLEPOALMFOMX-UHFFFAOYSA-N,4993,44,2313930,O=c1c2ccccc2nnn1CSc1nc2ccccc2[nH]1,0.4313184481520316,5.695691223878024,13.205303988922822,1,5.695691223878024,1.0,44,32,88,1,0.0113636363636363,0,1,yes
PUMDIRKBVCLGAX-UHFFFAOYSA-N,4995,44,6407449,CCCCn1c2ccc(C)cc2c2nnc(SCCN3CCCCC3)nc21,0.4518421357583954,5.23424729752452,11.58423901467066,1,6.0,1.0,44,27,60,2,0.0333333333333333,2,0,yes
QRBJRPCMUPVBEA-UHFFFAOYSA-N,5015,44,1254635,Cc1ccccc1OCC(=O)NC(=S)Nc1ccccc1N1CCN(S(C)(=O)=O)CC1,0.2703816907285485,4.0,14.79390112999858,1,4.0,1.0,44,30,87,1,0.0114942528735632,1,0,yes
XEGXWYVGOCPKQD-UHFFFAOYSA-N,5045,44,2550378,O=C(Cn1ncc(Cl)c(Cl)c1=O)NC(=O)NC1CCCCC1,0.8106866244248887,3.693634346311877,4.556180199632857,1,11.08090303893563,1.0,44,28,35,2,0.0571428571428571,2,1,yes
ATGPVACHBUWWSU-UHFFFAOYSA-N,5047,44,1096060,COc1ccc(S(=O)(=O)N(C)c2ccc(C(=O)N3CCCCC3)cc2)cc1OC,0.5244200903261611,5.395918001568654,10.289304511985195,1,5.395918001568654,1.0,44,34,39,1,0.0256410256410256,1,0,yes
XESBQUQIWAZBHC-UHFFFAOYSA-N,5072,44,53301458,COc1ccc(-c2ccc(N3C(c4cc(OC)cc(OC)c4)=Cc4ccc(OC)cc4C3CC(C)=O)cc2)cc1,0.4869654792577045,4.721428251372572,9.695611809218144,1,4.721428251372572,1.0,44,44,34,1,0.0294117647058823,1,0,yes
ONSKQWQBFHASOV-UHFFFAOYSA-N,5132,43,3210867,COc1ccc(CNC(=O)C(c2ccco2)N(Cc2ccccc2)C(=O)Cc2cccs2)cc1,0.2734585495134625,7.7,28.157832379714733,1,7.7,1.0,43,35,56,1,0.0178571428571428,1,0,yes
VHGKLMRCEJAGSP-UHFFFAOYSA-N,5141,43,1856804,CCc1ccc(O)c(-c2cc(C(=O)Nc3cccnc3)[nH]n2)c1,0.7356465014341247,8.479299716750742,11.526323716921858,1,10.888191681736748,1.0,43,42,57,2,0.0350877192982456,0,2,yes
