gcm_cluster,cluster_size,max_cpds_tested,num_assays,num_assays_enriched,fract_assays_enriched,num_assays_enriched_up,num_assays_enriched_down,gcm_conclusion
6395,33,33,69,3,0.0434782608695652,2,1,yes
6453,32,21,61,1,0.0163934426229508,1,0,yes
6462,32,26,87,1,0.0114942528735632,1,0,yes
6492,32,27,67,4,0.0597014925373134,4,0,yes
6494,32,18,102,3,0.0294117647058823,1,2,yes
6525,32,21,26,2,0.0769230769230769,2,0,yes
6537,32,24,95,2,0.0210526315789473,2,0,yes
6553,32,32,72,1,0.0138888888888888,0,1,yes
6583,31,24,27,2,0.074074074074074,2,0,yes
6637,31,26,30,1,0.0333333333333333,0,1,yes
6649,31,16,61,1,0.0163934426229508,1,0,yes
6676,31,13,41,1,0.024390243902439,0,1,yes
6707,31,19,20,1,0.05,0,1,yes
6720,31,31,52,1,0.0192307692307692,1,0,yes
6732,31,21,52,2,0.0384615384615384,2,0,yes
6756,30,17,98,3,0.0306122448979591,2,1,yes
6774,30,15,102,1,0.0098039215686274,0,1,yes
6810,30,21,103,1,0.0097087378640776,1,0,yes
6825,30,29,46,1,0.0217391304347826,1,0,yes
6828,30,27,43,1,0.0232558139534883,1,0,yes
6853,30,24,49,2,0.0408163265306122,2,0,yes
6861,30,30,94,1,0.0106382978723404,1,0,yes
6884,30,25,68,2,0.0294117647058823,1,1,yes
6921,30,23,70,1,0.0142857142857142,1,0,yes
6958,29,29,27,2,0.074074074074074,2,0,yes
6963,29,28,42,5,0.119047619047619,5,0,yes
6965,29,29,50,3,0.06,1,2,yes
7004,29,17,103,1,0.0097087378640776,1,0,yes
7021,29,26,43,1,0.0232558139534883,1,0,yes
7026,29,18,51,1,0.0196078431372549,1,0,yes
7027,29,25,80,2,0.025,2,0,yes
7048,29,22,85,1,0.0117647058823529,0,1,yes
7084,29,21,47,1,0.0212765957446808,1,0,yes
7085,29,16,93,2,0.021505376344086,1,1,yes
7095,29,9,77,1,0.0129870129870129,1,0,yes
7099,29,29,58,1,0.0172413793103448,1,0,yes
7103,29,23,75,1,0.0133333333333333,1,0,yes
7135,29,23,101,1,0.0099009900990099,1,0,yes
7164,28,22,83,3,0.036144578313253,3,0,yes
7172,28,17,78,3,0.0384615384615384,2,1,yes
7179,28,21,91,3,0.0329670329670329,3,0,yes
7236,28,17,100,4,0.04,0,4,yes
7243,28,15,107,2,0.0186915887850467,1,1,yes
7251,28,23,50,1,0.02,1,0,yes
7261,28,22,100,1,0.01,1,0,yes
7269,28,22,96,1,0.0104166666666666,1,0,yes
7278,28,26,91,4,0.0439560439560439,3,1,yes
7283,28,18,64,1,0.015625,1,0,yes
7304,28,20,27,1,0.037037037037037,1,0,yes
7339,28,14,92,2,0.0217391304347826,1,1,yes
7370,27,22,37,2,0.054054054054054,1,1,yes
7383,27,27,54,2,0.037037037037037,1,1,yes
7402,27,24,37,2,0.054054054054054,0,2,yes
7405,27,27,71,1,0.0140845070422535,1,0,yes
7408,27,23,51,1,0.0196078431372549,1,0,yes
7417,27,26,72,1,0.0138888888888888,1,0,yes
7423,27,23,83,1,0.0120481927710843,1,0,yes
7449,27,17,107,1,0.0093457943925233,1,0,yes
7475,27,19,58,3,0.0517241379310344,3,0,yes
7479,27,27,18,2,0.1111111111111111,2,0,yes
7484,27,23,44,2,0.0454545454545454,1,1,yes
7489,27,16,88,1,0.0113636363636363,1,0,yes
7505,27,21,86,2,0.0232558139534883,0,2,yes
7507,27,27,64,4,0.0625,4,0,yes
7520,27,15,53,2,0.0377358490566037,1,1,yes
7526,27,20,44,4,0.0909090909090909,4,0,yes
7529,26,24,68,3,0.0441176470588235,3,0,yes
7547,26,22,20,1,0.05,1,0,yes
7548,26,26,21,1,0.0476190476190476,1,0,yes
7575,26,20,77,3,0.0389610389610389,3,0,yes
7588,26,12,82,3,0.0365853658536585,3,0,yes
7590,26,16,65,1,0.0153846153846153,1,0,yes
7603,26,19,64,1,0.015625,1,0,yes
7605,26,19,79,1,0.0126582278481012,1,0,yes
7628,26,26,47,1,0.0212765957446808,0,1,yes
7641,26,26,27,1,0.037037037037037,0,1,yes
7649,26,21,42,3,0.0714285714285714,3,0,yes
7685,26,12,42,1,0.0238095238095238,1,0,yes
7698,26,17,57,4,0.0701754385964912,4,0,yes
7727,26,18,86,4,0.0465116279069767,4,0,yes
7728,26,23,37,4,0.1081081081081081,4,0,yes
7743,26,24,87,1,0.0114942528735632,0,1,yes
7778,25,13,38,3,0.0789473684210526,3,0,yes
7790,25,17,86,1,0.0116279069767441,1,0,yes
7793,25,17,50,1,0.02,1,0,yes
7803,25,23,57,1,0.0175438596491228,1,0,yes
7815,25,21,85,1,0.0117647058823529,1,0,yes
7837,25,13,81,2,0.0246913580246913,1,1,yes
